id,question,choices,correctAnswer,startTime,duration,createdAt,updatedAt,deleted
"1,""Apa ibu kota Indonesia?"",""Jakarta, Surabaya, Bandung, Medan"",""Jakarta"",2023-12-25T09:00:00Z,1800,""2023-12-25T10:00:00Z"",""2023-12-25T10:00:00Z"",false"
"2,""Siapakah penemu bola lampu?"",""Thomas Edison, Alexander Graham Bell, Albert Einstein, Isaac Newton"",""Thomas Edison"",2023-12-25T09:10:00Z,1800,""2023-12-25T10:00:00Z"",""2023-12-25T10:00:00Z"",false"
"3,""Apa nama planet terbesar di tata surya?"",""Jupiter, Mars, Saturnus, Bumi"",""Jupiter"",2023-12-25T09:20:00Z,1800,""2023-12-25T10:00:00Z"",""2023-12-25T10:00:00Z"",false"
"4,""Siapakah penulis novel 'Laskar Pelangi'?"",""Andrea Hirata, Tere Liye, Dee Lestari, Eka Kurniawan"",""Andrea Hirata"",2023-12-25T09:30:00Z,1800,""2023-12-25T10:00:00Z"",""2023-12-25T10:00:00Z"",false"
"5,""Berapa jumlah provinsi di Indonesia?"",""33, 34, 35, 36"",""34"",2023-12-25T09:40:00Z,1800,""2023-12-25T10:00:00Z"",""2023-12-25T10:00:00Z"",false"
"6,""Apakah rumus kimia untuk air?"",""H2O, CO2, NaCl, O2"",""H2O"",2023-12-25T09:50:00Z,1800,""2023-12-25T10:00:00Z"",""2023-12-25T10:00:00Z"",false"
"7,""Siapakah presiden pertama Indonesia?"",""Soekarno, Soeharto, Jokowi, Megawati"",""Soekarno"",2023-12-25T10:00:00Z,1800,""2023-12-25T10:00:00Z"",""2023-12-25T10:00:00Z"",false"
"8,""Apa simbol kimia untuk emas?"",""Au, Ag, Fe, Cu"",""Au"",2023-12-25T10:10:00Z,1800,""2023-12-25T10:00:00Z"",""2023-12-25T10:00:00Z"",false"
"9,""Apa nama ibukota Jepang?"",""Tokyo, Osaka, Kyoto, Hiroshima"",""Tokyo"",2023-12-25T10:20:00Z,1800,""2023-12-25T10:00:00Z"",""2023-12-25T10:00:00Z"",false"
"10,""Siapakah penulis novel 'Harry Potter'?"",""J.R.R. Tolkien, J.K. Rowling, Stephen King, George R.R. Martin"",""J.K. Rowling"",2023-12-25T10:30:00Z,1800,""2023-12-25T10:00:00Z"",""2023-12-25T10:00:00Z"",false"
"11,""Apa lambang dari unsur hidrogen?"",""H, He, C, O"",""H"",2023-12-25T10:40:00Z,1800,""2023-12-25T10:00:00Z"",""2023-12-25T10:00:00Z"",false"
"12,""Siapa ilmuwan yang merumuskan teori relativitas umum?"",""Isaac Newton, Albert Einstein, Galileo Galilei, Nikola Tesla"",""Albert Einstein"",2023-12-25T10:50:00Z,1800,""2023-12-25T10:00:00Z"",""2023-12-25T10:00:00Z"",false"
"13,""Apa warna dari langit saat siang hari?"",""Biru, Merah, Hijau, Kuning"",""Biru"",2023-12-25T11:00:00Z,1800,""2023-12-25T10:00:00Z"",""2023-12-25T10:00:00Z"",false"
"14,""Berapa jumlah planet dalam tata surya kita?"",""7, 8, 9, 10"",""8"",2023-12-25T11:10:00Z,1800,""2023-12-25T10:00:00Z"",""2023-12-25T10:00:00Z"",false"
"15,""Siapakah penemu teori gravitasi?"",""Isaac Newton, Albert Einstein, Galileo Galilei, Nikola Tesla"",""Isaac Newton"",2023-12-25T11:20:00Z,1800,""2023-12-25T10:00:00Z"",""2023-12-25T10:00:00Z"",false"
"16,""Apa julukan dari negara Brazil?"",""Negara Samba, Negara Matador, Negara Bunga, Negara Merlion"",""Negara Samba"",2023-12-25T11:30:00Z,1800,""2023-12-25T10:00:00Z"",""2023-12-25T10:00:00Z"",false"
"17,""Apa nama sungai terpanjang di dunia?"",""Sungai Nil, Sungai Amazon, Sungai Mississippi, Sungai Yangtze"",""Sungai Amazon"",2023-12-25T11:40:00Z,1800,""2023-12-25T10:00:00Z"",""2023-12-25T10:00:00Z"",false"
"18,""Siapakah pelukis terkenal dari lukisan 'Mona Lisa'?"",""Leonardo da Vinci, Michelangelo, Vincent van Gogh, Pablo Picasso"",""Leonardo da Vinci"",2023-12-25T11:50:00Z,1800,""2023-12-25T10:00:00Z"",""2023-12-25T10:00:00Z"",false"
"19,""Apa nama benua terbesar di dunia?"",""Benua Asia, Benua Amerika, Benua Eropa, Benua Afrika"",""Benua Asia"",2023-12-25T12:00:00Z,1800,""2023-12-25T10:00:00Z"","""
